CustomerId,Nombre,Localizacion,idLocalizacion,Genero,idGenero,Edad,RangoEdad,idRangoEdad,Patrimonio,RangoPatrimonio,idRangoPatrimonio,SalarioMensualEstimado,RangoSalarial,idRangoSalarial,TDC,idTDC
15759133,Vaguine,Francia,2,M,2,18,18 - 25,1,0,De 0 - 25000,1,2275.72, De 2000 - 3000 , 4 ,PLATINUM,3
15757821,Burgess,Espana,3,M,2,18,18 - 25,1,0,De 0 - 25000,1,3461.91, De 3000 - 8000 , 5 ,GOLD,2
15657439,Chao,Francia,2,M,2,18,18 - 25,1,0,De 0 - 25000,1,3983.26, De 3000 - 8000 , 5 ,PLATINUM,3
15805764,Hallahan,Francia,2,M,2,18,18 - 25,1,0,De 0 - 25000,1,4399.60, De 3000 - 8000 , 5 ,GOLD,2
15758372,Wallace,Francia,2,M,2,18,18 - 25,1,0,De 0 - 25000,1,4646.09, De 3000 - 8000 , 5 ,DIAMOND,1
15619892,Page,Espana,3,M,2,18,18 - 25,1,0,De 0 - 25000,1,4931.04, De 3000 - 8000 , 5 ,DIAMOND,1
15641688,Collier,Espana,3,M,2,18,18 - 25,1,0,De 0 - 25000,1,4970.44, De 3000 - 8000 , 5 ,GOLD,2
15657779,Boylan,Espana,3,M,2,18,18 - 25,1,0,De 0 - 25000,1,7249.55, De 3000 - 8000 , 5 ,GOLD,2
15605067,Nwachinemelu,Francia,2,M,2,19,18 - 25,1,0,De 0 - 25000,1,287.78, De 0 - 500 , 1 ,PLATINUM,3
15641822,Barese,Francia,2,F,1,19,18 - 25,1,0,De 0 - 25000,1,1841.82, De 1000 - 2000 , 3 ,GOLD,2
15776844,Hao,Espana,3,F,1,19,18 - 25,1,0,De 0 - 25000,1,4625.01, De 3000 - 8000 , 5 ,DIAMOND,1
15662641,Amadi,Francia,2,M,2,19,18 - 25,1,0,De 0 - 25000,1,5714.16, De 3000 - 8000 , 5 ,GOLD,2
15670343,Li,Espana,3,M,2,19,18 - 25,1,0,De 0 - 25000,1,6025.51, De 3000 - 8000 , 5 ,GOLD,2
15693902,Hunt,Francia,2,M,2,19,18 - 25,1,0,De 0 - 25000,1,7586.40, De 3000 - 8000 , 5 ,GOLD,2
15666652,Anayolisa,Francia,2,F,1,19,18 - 25,1,0,De 0 - 25000,1,10358.11, De 8000 - 15000 , 6 ,PLATINUM,3
15732967,Cremonesi,Francia,2,M,2,19,18 - 25,1,0,De 0 - 25000,1,12631.82, De 8000 - 15000 , 6 ,PLATINUM,3
15761506,Russell,Espana,3,M,2,19,18 - 25,1,0,De 0 - 25000,1,13326.74, De 8000 - 15000 , 6 ,DIAMOND,1
15741195,Okechukwu,Espana,3,M,2,19,18 - 25,1,0,De 0 - 25000,1,14741.95, De 8000 - 15000 , 6 ,SILVER,4
15654296,Estrada,Espana,3,F,1,19,18 - 25,1,0,De 0 - 25000,1,15803.43, > 15000 , 7 ,SILVER,4
15791972,Bergamaschi,Francia,2,F,1,20,18 - 25,1,0,De 0 - 25000,1,899.37, De 500 - 1000 , 2 ,GOLD,2
15739576,Bustard,Espana,3,M,2,20,18 - 25,1,0,De 0 - 25000,1,1030.68, De 1000 - 2000 , 3 ,PLATINUM,3
15786418,Chiu,Francia,2,F,1,20,18 - 25,1,0,De 0 - 25000,1,1709.07, De 1000 - 2000 , 3 ,GOLD,2
15643438,P'eng,Francia,2,M,2,20,18 - 25,1,0,De 0 - 25000,1,2607.40, De 2000 - 3000 , 4 ,DIAMOND,1
15758171,Tien,Francia,2,M,2,20,18 - 25,1,0,De 0 - 25000,1,4646.97, De 3000 - 8000 , 5 ,SILVER,4
15786167,Andreyeva,Espana,3,M,2,20,18 - 25,1,0,De 0 - 25000,1,4859.13, De 3000 - 8000 , 5 ,PLATINUM,3
15583033,Huguley,Francia,2,F,1,20,18 - 25,1,0,De 0 - 25000,1,6525.90, De 3000 - 8000 , 5 ,SILVER,4
15756118,T'ao,Espana,3,M,2,20,18 - 25,1,0,De 0 - 25000,1,9187.71, De 8000 - 15000 , 6 ,GOLD,2
15673907,Alexander,Francia,2,M,2,20,18 - 25,1,0,De 0 - 25000,1,9381.00, De 8000 - 15000 , 6 ,GOLD,2
15568238,Diaz,Espana,3,M,2,20,18 - 25,1,0,De 0 - 25000,1,9455.80, De 8000 - 15000 , 6 ,PLATINUM,3
15725302,Streeton,Espana,3,F,1,20,18 - 25,1,0,De 0 - 25000,1,9979.94, De 8000 - 15000 , 6 ,PLATINUM,3
15699598,Smith,Francia,2,F,1,20,18 - 25,1,0,De 0 - 25000,1,11698.78, De 8000 - 15000 , 6 ,PLATINUM,3
15748123,Chienezie,Francia,2,M,2,20,18 - 25,1,0,De 0 - 25000,1,12467.81, De 8000 - 15000 , 6 ,GOLD,2
15672970,Chigolum,Espana,3,M,2,20,18 - 25,1,0,De 0 - 25000,1,12538.83, De 8000 - 15000 , 6 ,PLATINUM,3
15598614,Lucchesi,Espana,3,M,2,20,18 - 25,1,0,De 0 - 25000,1,14012.73, De 8000 - 15000 , 6 ,GOLD,2
15649793,Lovely,Francia,2,M,2,20,18 - 25,1,0,De 0 - 25000,1,15636.53, > 15000 , 7 ,DIAMOND,1
15637593,Greco,Francia,2,M,2,20,18 - 25,1,0,De 0 - 25000,1,16290.52, > 15000 , 7 ,DIAMOND,1
15741094,Sagese,Francia,2,M,2,21,18 - 25,1,0,De 0 - 25000,1,291.17, De 0 - 500 , 1 ,PLATINUM,3
15606003,Abramowitz,Francia,2,F,1,21,18 - 25,1,0,De 0 - 25000,1,302.21, De 0 - 500 , 1 ,DIAMOND,1
15678571,Barber,Francia,2,M,2,21,18 - 25,1,0,De 0 - 25000,1,2070.59, De 2000 - 3000 , 4 ,SILVER,4
15725068,Quinn,Espana,3,F,1,21,18 - 25,1,0,De 0 - 25000,1,2193.95, De 2000 - 3000 , 4 ,PLATINUM,3
15571148,Baranov,Espana,3,F,1,21,18 - 25,1,0,De 0 - 25000,1,2393.84, De 2000 - 3000 , 4 ,GOLD,2
15582066,Maclean,Francia,2,M,2,21,18 - 25,1,0,De 0 - 25000,1,3078.53, De 3000 - 8000 , 5 ,DIAMOND,1
15717935,McDonald,Francia,2,F,1,21,18 - 25,1,0,De 0 - 25000,1,4633.45, De 3000 - 8000 , 5 ,SILVER,4
15651369,Wright,Francia,2,M,2,21,18 - 25,1,0,De 0 - 25000,1,5519.35, De 3000 - 8000 , 5 ,GOLD,2
15613292,Ch'eng,Francia,2,M,2,21,18 - 25,1,0,De 0 - 25000,1,5722.22, De 3000 - 8000 , 5 ,PLATINUM,3
15706128,Zhdanov,Francia,2,F,1,21,18 - 25,1,0,De 0 - 25000,1,7000.72, De 3000 - 8000 , 5 ,SILVER,4
15807221,Weaver,Espana,3,M,2,21,18 - 25,1,0,De 0 - 25000,1,8658.45, De 8000 - 15000 , 6 ,DIAMOND,1
15574237,Hsueh,Francia,2,F,1,21,18 - 25,1,0,De 0 - 25000,1,9176.18, De 8000 - 15000 , 6 ,PLATINUM,3
15700864,Fiorentini,Francia,2,F,1,21,18 - 25,1,0,De 0 - 25000,1,9675.54, De 8000 - 15000 , 6 ,DIAMOND,1
15675190,Chia,Francia,2,M,2,21,18 - 25,1,0,De 0 - 25000,1,11320.94, De 8000 - 15000 , 6 ,PLATINUM,3
15767894,Ch'ien,Francia,2,F,1,21,18 - 25,1,0,De 0 - 25000,1,11604.96, De 8000 - 15000 , 6 ,SILVER,4
15684248,Meng,Espana,3,M,2,21,18 - 25,1,0,De 0 - 25000,1,12856.66, De 8000 - 15000 , 6 ,SILVER,4
15576714,Manna,Espana,3,F,1,21,18 - 25,1,0,De 0 - 25000,1,12897.28, De 8000 - 15000 , 6 ,PLATINUM,3
15813894,Bogle,Espana,3,M,2,21,18 - 25,1,0,De 0 - 25000,1,12906.90, De 8000 - 15000 , 6 ,SILVER,4
15781530,Hsieh,Francia,2,M,2,21,18 - 25,1,0,De 0 - 25000,1,12981.91, De 8000 - 15000 , 6 ,DIAMOND,1
15784323,Gallo,Francia,2,F,1,21,18 - 25,1,0,De 0 - 25000,1,14645.33, De 8000 - 15000 , 6 ,GOLD,2
15697034,Norris,Espana,3,F,1,22,18 - 25,1,0,De 0 - 25000,1,498.78, De 0 - 500 , 1 ,DIAMOND,1
15645517,Philip,Espana,3,M,2,22,18 - 25,1,0,De 0 - 25000,1,807.04, De 500 - 1000 , 2 ,GOLD,2
15624229,Noble,Francia,2,F,1,22,18 - 25,1,0,De 0 - 25000,1,960.48, De 500 - 1000 , 2 ,GOLD,2
15576263,Clements,Francia,2,F,1,22,18 - 25,1,0,De 0 - 25000,1,1858.60, De 1000 - 2000 , 3 ,DIAMOND,1
15617401,Thomson,Francia,2,M,2,22,18 - 25,1,0,De 0 - 25000,1,2343.67, De 2000 - 3000 , 4 ,PLATINUM,3
15766663,Mahmood,Francia,2,M,2,22,18 - 25,1,0,De 0 - 25000,1,2349.08, De 2000 - 3000 , 4 ,GOLD,2
15790204,Myers,Espana,3,F,1,22,18 - 25,1,0,De 0 - 25000,1,2427.99, De 2000 - 3000 , 4 ,DIAMOND,1
15667521,Crawford,Francia,2,F,1,22,18 - 25,1,0,De 0 - 25000,1,2565.15, De 2000 - 3000 , 4 ,PLATINUM,3
15600710,Atkinson,Francia,2,M,2,22,18 - 25,1,0,De 0 - 25000,1,2715.79, De 2000 - 3000 , 4 ,GOLD,2
15596624,Topp,Francia,2,F,1,22,18 - 25,1,0,De 0 - 25000,1,3698.14, De 3000 - 8000 , 5 ,SILVER,4
15568328,Black,Francia,2,F,1,22,18 - 25,1,0,De 0 - 25000,1,5532.82, De 3000 - 8000 , 5 ,SILVER,4
15711249,Chukwuemeka,Espana,3,M,2,22,18 - 25,1,0,De 0 - 25000,1,5833.97, De 3000 - 8000 , 5 ,SILVER,4
15594084,Anderson,Francia,2,M,2,22,18 - 25,1,0,De 0 - 25000,1,6200.45, De 3000 - 8000 , 5 ,SILVER,4
15677512,McEncroe,Espana,3,F,1,22,18 - 25,1,0,De 0 - 25000,1,7118.86, De 3000 - 8000 , 5 ,DIAMOND,1
15674206,Walker,Francia,2,F,1,22,18 - 25,1,0,De 0 - 25000,1,7717.25, De 3000 - 8000 , 5 ,SILVER,4
15604348,Allard,Espana,3,M,2,22,18 - 25,1,0,De 0 - 25000,1,8303.75, De 8000 - 15000 , 6 ,SILVER,4
15761340,Bullen,Francia,2,M,2,22,18 - 25,1,0,De 0 - 25000,1,8319.04, De 8000 - 15000 , 6 ,PLATINUM,3
15802088,Grant,Espana,3,F,1,22,18 - 25,1,0,De 0 - 25000,1,8442.66, De 8000 - 15000 , 6 ,SILVER,4
15653065,Nwabugwu,Espana,3,F,1,22,18 - 25,1,0,De 0 - 25000,1,8680.87, De 8000 - 15000 , 6 ,PLATINUM,3
15614220,Benson,Francia,2,M,2,22,18 - 25,1,0,De 0 - 25000,1,8760.47, De 8000 - 15000 , 6 ,GOLD,2
15741197,Calzada,Espana,3,M,2,22,18 - 25,1,0,De 0 - 25000,1,8941.08, De 8000 - 15000 , 6 ,DIAMOND,1
15595557,Li,Francia,2,M,2,22,18 - 25,1,0,De 0 - 25000,1,8967.95, De 8000 - 15000 , 6 ,GOLD,2
15773890,Okechukwu,Francia,2,M,2,22,18 - 25,1,0,De 0 - 25000,1,9766.85, De 8000 - 15000 , 6 ,DIAMOND,1
15684484,White,Francia,2,M,2,22,18 - 25,1,0,De 0 - 25000,1,10632.27, De 8000 - 15000 , 6 ,PLATINUM,3
15689661,Gorbunov,Francia,2,M,2,22,18 - 25,1,0,De 0 - 25000,1,10985.60, De 8000 - 15000 , 6 ,PLATINUM,3
15578073,Barker,Espana,3,M,2,22,18 - 25,1,0,De 0 - 25000,1,11860.99, De 8000 - 15000 , 6 ,GOLD,2
15581102,Baresi,Francia,2,F,1,22,18 - 25,1,0,De 0 - 25000,1,11889.22, De 8000 - 15000 , 6 ,SILVER,4
15604576,Eiland,Espana,3,M,2,22,18 - 25,1,0,De 0 - 25000,1,12032.13, De 8000 - 15000 , 6 ,PLATINUM,3
15724334,Alekseyeva,Francia,2,M,2,22,18 - 25,1,0,De 0 - 25000,1,12597.49, De 8000 - 15000 , 6 ,PLATINUM,3
15759872,L?,Francia,2,M,2,22,18 - 25,1,0,De 0 - 25000,1,13089.41, De 8000 - 15000 , 6 ,PLATINUM,3
15713644,Marshall,Espana,3,M,2,22,18 - 25,1,0,De 0 - 25000,1,13247.87, De 8000 - 15000 , 6 ,SILVER,4
15673747,Ayers,Francia,2,F,1,22,18 - 25,1,0,De 0 - 25000,1,13962.76, De 8000 - 15000 , 6 ,DIAMOND,1
15577107,Milne,Espana,3,F,1,22,18 - 25,1,0,De 0 - 25000,1,14034.34, De 8000 - 15000 , 6 ,DIAMOND,1
15607176,Kang,Francia,2,M,2,22,18 - 25,1,0,De 0 - 25000,1,14495.05, De 8000 - 15000 , 6 ,PLATINUM,3
15624072,Kiernan,Espana,3,M,2,22,18 - 25,1,0,De 0 - 25000,1,14680.31, De 8000 - 15000 , 6 ,PLATINUM,3
15782247,Yeh,Francia,2,M,2,22,18 - 25,1,0,De 0 - 25000,1,15519.44, > 15000 , 7 ,PLATINUM,3
15659495,Fu,Espana,3,M,2,23,18 - 25,1,0,De 0 - 25000,1,570.64, De 500 - 1000 , 2 ,GOLD,2
15704910,Rios,Espana,3,M,2,23,18 - 25,1,0,De 0 - 25000,1,1151.10, De 1000 - 2000 , 3 ,GOLD,2
15680399,Tung,Francia,2,M,2,23,18 - 25,1,0,De 0 - 25000,1,1530.35, De 1000 - 2000 , 3 ,GOLD,2
15717489,Martin,Francia,2,M,2,23,18 - 25,1,0,De 0 - 25000,1,1649.48, De 1000 - 2000 , 3 ,SILVER,4
15725767,Milani,Francia,2,M,2,23,18 - 25,1,0,De 0 - 25000,1,3246.72, De 3000 - 8000 , 5 ,PLATINUM,3
15603088,Rossi,Espana,3,F,1,23,18 - 25,1,0,De 0 - 25000,1,4001.81, De 3000 - 8000 , 5 ,DIAMOND,1
15592570,Marino,Espana,3,F,1,23,18 - 25,1,0,De 0 - 25000,1,4729.98, De 3000 - 8000 , 5 ,DIAMOND,1
15736879,Obinna,Francia,2,M,2,23,18 - 25,1,0,De 0 - 25000,1,5507.40, De 3000 - 8000 , 5 ,GOLD,2
15694995,O'Sullivan,Francia,2,M,2,23,18 - 25,1,0,De 0 - 25000,1,5566.32, De 3000 - 8000 , 5 ,PLATINUM,3
15735222,Ignatieff,Espana,3,F,1,23,18 - 25,1,0,De 0 - 25000,1,6094.31, De 3000 - 8000 , 5 ,SILVER,4
15580719,Davis,Francia,2,F,1,23,18 - 25,1,0,De 0 - 25000,1,6644.52, De 3000 - 8000 , 5 ,SILVER,4
15608230,Hoelscher,Francia,2,M,2,23,18 - 25,1,0,De 0 - 25000,1,7631.10, De 3000 - 8000 , 5 ,SILVER,4
15697283,Mackenzie,Espana,3,M,2,23,18 - 25,1,0,De 0 - 25000,1,9343.75, De 8000 - 15000 , 6 ,DIAMOND,1
15642291,Fontaine,Francia,2,M,2,23,18 - 25,1,0,De 0 - 25000,1,9353.25, De 8000 - 15000 , 6 ,SILVER,4
15630349,Hollis,Espana,3,M,2,23,18 - 25,1,0,De 0 - 25000,1,9819.37, De 8000 - 15000 , 6 ,PLATINUM,3
15576928,Walsh,Francia,2,F,1,23,18 - 25,1,0,De 0 - 25000,1,10247.02, De 8000 - 15000 , 6 ,PLATINUM,3
15566594,McKenzie,Espana,3,M,2,23,18 - 25,1,0,De 0 - 25000,1,10799.18, De 8000 - 15000 , 6 ,SILVER,4
15762855,Hill,Espana,3,F,1,23,18 - 25,1,0,De 0 - 25000,1,10949.12, De 8000 - 15000 , 6 ,SILVER,4
15677136,Okwukwe,Francia,2,F,1,23,18 - 25,1,0,De 0 - 25000,1,11034.88, De 8000 - 15000 , 6 ,GOLD,2
15804052,Scott,Espana,3,M,2,23,18 - 25,1,0,De 0 - 25000,1,11182.34, De 8000 - 15000 , 6 ,SILVER,4
15675749,Baranov,Francia,2,F,1,23,18 - 25,1,0,De 0 - 25000,1,11813.03, De 8000 - 15000 , 6 ,GOLD,2
15662533,Porter,Espana,3,F,1,23,18 - 25,1,0,De 0 - 25000,1,12769.10, De 8000 - 15000 , 6 ,GOLD,2
15570145,Long,Francia,2,F,1,23,18 - 25,1,0,De 0 - 25000,1,12832.00, De 8000 - 15000 , 6 ,DIAMOND,1
15744398,Burns,Francia,2,F,1,23,18 - 25,1,0,De 0 - 25000,1,13354.09, De 8000 - 15000 , 6 ,PLATINUM,3
15578211,Connolly,Francia,2,M,2,23,18 - 25,1,0,De 0 - 25000,1,13602.12, De 8000 - 15000 , 6 ,PLATINUM,3
15730038,Docherty,Francia,2,F,1,23,18 - 25,1,0,De 0 - 25000,1,13677.37, De 8000 - 15000 , 6 ,GOLD,2
15760063,Chiedozie,Espana,3,M,2,23,18 - 25,1,0,De 0 - 25000,1,14007.16, De 8000 - 15000 , 6 ,PLATINUM,3
15615330,Tretiakova,Francia,2,M,2,23,18 - 25,1,0,De 0 - 25000,1,14174.94, De 8000 - 15000 , 6 ,SILVER,4
15598884,Kent,Espana,3,F,1,23,18 - 25,1,0,De 0 - 25000,1,15051.87, > 15000 , 7 ,GOLD,2
15731553,Lucas,Francia,2,M,2,23,18 - 25,1,0,De 0 - 25000,1,15273.71, > 15000 , 7 ,SILVER,4
15636756,Marino,Francia,2,M,2,23,18 - 25,1,0,De 0 - 25000,1,15801.09, > 15000 , 7 ,SILVER,4
15775042,Ku,Francia,2,F,1,23,18 - 25,1,0,De 0 - 25000,1,16373.02, > 15000 , 7 ,SILVER,4
